areadB	peak_db	peak_abs_freq_hz
10.374203972994035	-19.20069330250805	1000000438.6901855
9.42974167294143	-19.72419050159702	1000000438.6901855
9.55303122052232	-19.718955716826386	1000000443.4585571
9.608700403171444	-19.688407955639676	1000000443.4585571
9.55561756026848	-19.726543678326887	1000000443.4585571
9.490004962457084	-19.75865912377816	1000000443.4585571
9.393950886236269	-19.787299432138635	1000000443.4585571
9.197056880843173	-19.795950280659426	1000000443.4585571
8.59614022854901	-19.87040607579352	1000000443.4585571
6.556707727602751	-19.939338110636932	1000000443.4585571
3.762810563811139	-20.107389110381582	1000000443.4585571
-1.297296851871437	-20.629124559720204	1000000443.4585571
-2.169467960520488	-21.503881907135558	1000000443.4585571
-4.164194766174731	-23.510029680262683	1000000443.4585571
-7.624789101643006	-26.996596094887924	1000000443.4585571
areadB	peak_db	peak_abs_freq_hz
19.73199368706362	0.41432218644107427	1000000443.4585571
19.718852684976262	0.3996462551413976	1000000443.4585571
19.714319379886888	0.4031549829554248	1000000443.4585571
19.698746099238207	0.3888196178873712	1000000443.4585571
19.686900330770534	0.37208396738287214	1000000443.4585571
19.67990114272026	0.3683642828557962	1000000443.4585571
19.671808061756487	0.3598122874303114	1000000443.4585571
19.668921806062272	0.35346583295990386	1000000443.4585571
19.656152569074926	0.34145475067539127	1000000443.4585571
19.646188002403772	0.33524102031362274	1000000443.4585571
19.641905406875743	0.3260006962246467	1000000443.4585571
19.637224230685494	0.31792499644920613	1000000448.2269287
19.63381923476661	0.31452550980976857	1000000443.4585571
19.636411595318073	0.32090787401059573	1000000448.2269287
19.630960390947443	0.3131309747899784	1000000443.4585571
